id,quadra,lote,area_label_m2,area_poligono_m2,divergencia_pct,vertices
A-1,A,1,247.85,239.27,3.5,20
A-2,A,2,137.31,76.92,44.0,8
A-3,A,3,167.73,72.98,56.5,8
A-4,A,4,196.69,76.94,60.9,7
A-5,A,5,224.92,78.95,64.9,7
A-6,A,6,119.05,83.22,30.1,6
A-7,A,7,114.31,79.18,30.7,6
A-8,A,8,132.44,75.11,43.3,5
A-9,A,9,145.63,73.45,49.6,5
A-10,A,10,151.45,97.54,35.6,8
A-11,A,11,151.38,100.90,33.3,6
A-12,A,12,151.32,95.93,36.6,6
A-13,A,13,151.26,84.36,44.2,7
A-14,A,14,151.19,76.46,49.4,6
A-15,A,15,151.13,76.62,49.3,6
A-16,A,16,128.28,76.03,40.7,6
A-17,A,17,151.39,73.10,51.7,5
A-18,A,18,151.35,74.99,50.5,5
A-19,A,19,151.32,73.22,51.6,5
A-20,A,20,151.28,73.72,51.3,5
A-21,A,21,151.24,72.89,51.8,4
A-22,A,22,151.20,71.87,52.5,5
A-23,A,23,151.17,71.56,52.7,4
A-24,A,24,151.13,71.11,52.9,5
A-25,A,25,151.09,70.15,53.6,5
A-26,A,26,224.27,211.23,5.8,8
D-5,D,5,224.27,189.99,15.3,7
A-27,A,27,204.25,204.25,0.0,13
A-28,A,28,184.49,191.48,3.8,12
B-1,B,1,169.47,202.08,19.2,7
B-2,B,2,231.57,156.40,32.5,7
B-3,B,3,210.53,125.24,40.5,11
B-4,B,4,138.56,83.74,39.6,7
B-5,B,5,159.54,75.50,52.7,7
B-6,B,6,160.00,73.23,54.2,7
B-7,B,7,160.00,94.72,40.8,10
B-8,B,8,160.00,78.43,51.0,8
B-9,B,9,160.00,82.66,48.3,8
B-10,B,10,160.00,91.96,42.5,8
B-11,B,11,160.00,90.13,43.7,9
B-12,B,12,160.00,82.81,48.2,10
B-13,B,13,160.00,77.06,51.8,9
B-14,B,14,160.00,77.00,51.9,9
B-15,B,15,160.00,74.10,53.7,9
B-16,B,16,160.00,74.86,53.2,8
B-17,B,17,160.00,78.11,51.2,7
B-18,B,18,160.00,74.81,53.2,6
D-19,D,19,159.99,84.09,47.4,8
B-19,B,19,160.00,72.77,54.5,4
D-20,D,20,160.00,82.00,48.7,9
B-20,B,20,160.00,71.51,55.3,6
D-21,D,21,160.00,69.98,56.3,8
B-21,B,21,160.00,71.04,55.6,4
D-22,D,22,160.00,80.28,49.8,8
B-22,B,22,160.00,70.81,55.7,5
D-26,D,26,160.00,83.38,47.9,10
B-23,B,23,160.00,71.06,55.6,4
D-23,D,23,160.00,88.03,45.0,10
B-24,B,24,160.00,85.50,46.6,9
B-25,B,25,160.00,75.30,52.9,9
B-26,B,26,160.00,76.42,52.2,9
B-27,B,27,160.00,84.25,47.3,7
D-37,D,37,160.00,75.55,52.8,11
B-28,B,28,160.00,83.97,47.5,6
D-28,D,28,160.00,75.58,52.8,10
B-29,B,29,160.00,84.37,47.3,8
B-30,B,30,160.00,84.05,47.5,7
B-31,B,31,160.00,76.80,52.0,8
B-32,B,32,160.00,121.06,24.3,13
B-33,B,33,160.00,70.01,56.2,8
B-34,B,34,160.00,83.34,47.9,8
B-35,B,35,160.00,92.38,42.3,8
B-36,B,36,160.00,84.53,47.2,11
B-37,B,37,160.00,78.18,51.1,9
B-38,B,38,160.00,76.64,52.1,9
B-39,B,39,160.00,76.76,52.0,9
B-40,B,40,160.00,73.26,54.2,10
B-41,B,41,160.00,77.59,51.5,8
B-42,B,42,160.00,75.88,52.6,6
B-43,B,43,160.01,118.06,26.2,6
D-43,D,43,160.00,72.67,54.6,5
B-44,B,44,160.01,96.84,39.5,7
D-44,D,44,160.00,71.88,55.1,6
B-45,B,45,160.00,71.16,55.5,4
D-45,D,45,160.00,96.25,39.8,7
F-47,F,47,160.00,71.42,55.4,6
D-46,D,46,160.00,83.86,47.6,8
B-46,B,46,277.70,233.72,15.8,7
B-47,B,47,255.49,217.36,14.9,7
B-48,B,48,233.29,178.22,23.6,6
B-49,B,49,211.08,184.37,12.7,6
C-1,C,1,159.99,122.29,23.6,5
C-2,C,2,200.00,112.12,43.9,5
D-18,D,18,159.99,193.75,21.1,14
C-3,C,3,192.00,144.28,24.9,6
D-4,D,4,192.00,429.18,123.5,12
L-3,L,3,192.00,145.83,24.0,8
C-6,C,6,159.99,140.80,12.0,6
C-7,C,7,159.99,168.22,5.1,7
C-8,C,8,159.99,138.44,13.5,7
C-9,C,9,159.99,114.00,28.7,6
C-10,C,10,159.99,133.72,16.4,5
C-11,C,11,159.99,170.93,6.8,7
C-12,C,12,159.99,128.65,19.6,6
C-13,C,13,159.99,232.75,45.5,14
C-14,C,14,159.99,116.31,27.3,6
C-15,C,15,159.99,97.67,39.0,7
C-16,C,16,159.99,97.53,39.0,8
C-17,C,17,159.99,84.14,47.4,7
C-18,C,18,159.99,138.38,13.5,7
C-19,C,19,159.99,146.50,8.4,7
C-20,C,20,159.99,181.64,13.5,9
C-21,C,21,160.00,143.07,10.6,7
C-22,C,22,160.00,170.01,6.3,9
